z_mm,normalized_temperature_rise
4.010000000000000675e+00,1.317781800705259410e-01
4.020000000000000462e+00,1.331858086665354268e-01
4.030000000000000249e+00,1.346046046725698497e-01
4.040000000000000036e+00,1.360346056688821192e-01
4.050000000000000711e+00,1.374758486849380623e-01
4.060000000000000497e+00,1.389283701896552037e-01
4.070000000000000284e+00,1.403922060816243378e-01
4.080000000000000071e+00,1.418673916793100620e-01
4.090000000000000746e+00,1.433539617112382647e-01
4.100000000000000533e+00,1.448519503061663771e-01
4.110000000000000320e+00,1.463613909832417181e-01
4.120000000000000107e+00,1.478823166421474045e-01
4.129999999999999893e+00,1.494147595532381023e-01
4.140000000000000568e+00,1.509587513476676468e-01
4.150000000000000355e+00,1.525143230075089451e-01
4.160000000000000142e+00,1.540815048558692724e-01
4.169999999999999929e+00,1.556603265470007935e-01
4.180000000000000604e+00,1.572508170564101693e-01
4.190000000000000391e+00,1.588530046709665244e-01
4.200000000000000178e+00,1.604669169790116645e-01
4.209999999999999964e+00,1.620925808604718743e-01
4.220000000000000639e+00,1.637300224769768497e-01
4.230000000000000426e+00,1.653792672619810999e-01
4.240000000000001101e+00,1.670403399108977005e-01
4.250000000000000000e+00,1.687132643712387081e-01
4.260000000000000675e+00,1.703980638327689534e-01
