wavelength_nm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1549.7024,nan,nan,-36.887218,-39.308271,-40.744361,-41.932331,nan,-41.12782
1549.7111,nan,nan,-36.774436,-39.293233,-40.75188,-41.977444,nan,-41.18797
1549.7197,nan,nan,-36.533835,-39.300752,-40.729323,-42.015038,nan,-41.308271
1549.7284,nan,nan,-36.481203,-39.308271,-40.706767,-42.037594,-41.804511,-41.458647
1549.737,nan,nan,-36.443609,-39.390977,-40.616541,-42.045113,-41.849624,-41.533835
1549.7457,nan,nan,-36.421053,-39.496241,-40.466165,-42.045113,-41.87218,-41.601504
1549.7543,nan,nan,-36.458647,-39.62406,-40.360902,-42.022556,-41.887218,-41.669173
1549.763,nan,nan,-36.428571,-39.714286,-40.308271,-41.330827,-41.894737,-41.691729
1549.7716,nan,nan,-36.428571,-39.781955,-40.278195,-41.24812,-41.894737,-41.691729
1549.7803,nan,nan,-36.43609,-39.879699,-40.270677,-41.075188,-41.894737,-41.684211
1549.7889,nan,nan,-36.466165,-39.962406,-40.285714,-40.924812,-41.879699,-41.646617
1549.7976,nan,nan,-36.443609,-40.037594,-40.330827,-40.834586,-41.842105,-41.548872
1549.8062,nan,nan,-36.43609,-41.954887,-40.345865,-40.766917,nan,-41.481203
1549.8149,nan,nan,-36.413534,-42,-40.383459,-40.699248,nan,-41.383459
1549.8235,nan,nan,-36.398496,-42.195489,-40.428571,-40.676692,nan,-41.330827
1549.8322,nan,nan,-36.428571,-42.503759,-41.586466,-40.654135,nan,-41.24812
1549.8408,nan,nan,-36.481203,-42.669173,-41.616541,-40.654135,-40.864662,-41.18797
1549.8495,nan,nan,-36.511278,-42.87218,-41.736842,-40.661654,-40.849624,-41.172932
1549.8581,nan,nan,-36.578947,-42.947368,-41.87218,-40.661654,-40.842105,-41.150376
1549.8668,nan,nan,-36.796992,-43.022556,-42.105263,-40.676692,-40.842105,-41.082707
1549.8754,nan,nan,-36.917293,-43.052632,-42.255639,-40.706767,-40.842105,-41.06015
1549.8841,nan,nan,-37.082707,-43.06015,-42.421053,nan,-40.87218,-41.097744
1549.8927,nan,nan,-41.526316,-43.075188,-42.518797,nan,-40.894737,-41.150376
1549.9014,nan,nan,-41.646617,-43.067669,-42.586466,nan,nan,-41.203008
1549.91,nan,nan,-37.37594,-43.052632,-42.631579,nan,nan,-41.323308
1549.9187,nan,nan,-37.421053,-42.977444,-42.646617,nan,nan,-41.421053
1549.9273,nan,nan,-37.496241,-40.947368,-42.631579,-42.300752,nan,-41.548872
1549.936,nan,nan,-37.541353,-40.992481,-42.616541,-42.353383,nan,-41.661654
1549.9446,nan,nan,-37.661654,nan,-42.496241,-42.37594,nan,-41.699248
1549.9533,nan,nan,-37.789474,-40.601504,-41.451128,-42.37594,-42.210526,-41.796992
1549.9619,nan,nan,-37.909774,-40.37594,-41.338346,-42.390977,-42.210526,-41.834586
1549.9706,nan,nan,-38.037594,-40.12782,-41.18797,-42.390977,-42.225564,-41.849624
1549.9792,nan,nan,-38.180451,-40,-41.022556,-42.37594,-42.218045,-41.781955
1549.9879,nan,nan,-38.293233,-39.81203,-40.781955,-42.353383,-42.233083,-41.781955
1549.9965,nan,nan,-38.428571,-39.699248,-40.646617,nan,-42.180451,-41.81203
1550.0052,nan,nan,-38.548872,-39.578947,-40.503759,nan,nan,-41.736842
1550.0138,nan,nan,-38.766917,-39.390977,-40.406015,nan,nan,-41.721805
1550.0225,nan,nan,-41.022556,-39.270677,-40.24812,nan,nan,-41.62406
1550.0311,nan,nan,-41.075188,-39.105263,-40.180451,-40.894737,nan,-41.541353
1550.0398,nan,nan,nan,-38.977444,-40.12782,-40.834586,nan,-41.390977
1550.0484,nan,nan,-39.503759,-38.894737,-40.105263,-40.781955,-41.015038,-41.315789
1550.0571,nan,nan,-39.518797,-38.804511,-40.120301,-40.759398,-41,-41.210526
1550.0657,nan,nan,-39.601504,-38.766917,-40.135338,-40.736842,-40.984962,-41.165414
1550.0744,nan,nan,-39.721805,-38.759398,-40.180451,-40.736842,-40.977444,-41.157895
1550.083,nan,nan,-39.781955,-38.759398,-40.278195,-40.729323,-40.977444,-41.165414
1550.0917,nan,nan,-39.87218,-38.766917,-40.323308,-40.729323,-40.984962,-41.142857
1550.1003,nan,nan,-39.954887,-38.81203,-40.390977,-40.736842,-40.992481,-41.195489
1550.109,nan,nan,-40.586466,-38.879699,-40.428571,-40.744361,-41.007519,-41.308271
1550.1176,nan,nan,-40.616541,-38.977444,nan,-40.796992,-41.052632,-41.345865
1550.1263,nan,nan,-40.661654,-39.090226,nan,-40.834586,-41.112782,-41.548872
1550.1349,nan,nan,-40.706767,-39.240602,nan,-40.87218,nan,-41.706767
1550.1436,nan,nan,-40.827068,-39.406015,-42.443609,nan,-41.406015,-41.917293
1550.1522,nan,nan,-41.06015,-39.548872,-42.458647,nan,nan,-42.022556
1550.1609,nan,nan,-41.195489,-39.774436,-42.857143,nan,-41.714286,-42.120301
1550.1696,nan,nan,-41.481203,-39.962406,-42.947368,-42.601504,nan,-42.218045
1550.1782,nan,nan,-41.654135,-40.285714,-43.007519,-42.669173,nan,-42.300752
1550.1869,nan,nan,nan,-40.473684,-43.06015,-42.721805,nan,-42.300752
1550.1955,nan,nan,nan,-40.834586,-43.067669,-42.744361,nan,-42.308271
1550.2042,nan,nan,nan,-40.992481,-43.082707,-42.75188,-42.56391,-42.293233
1550.2128,nan,nan,nan,-41.045113,-43.075188,-42.75188,-42.556391,-42.240602
1550.2215,nan,nan,nan,-41.157895,-43.067669,-42.744361,-42.533835,-42.105263
1550.2301,nan,nan,nan,-41.233083,-43.045113,-42.721805,-42.458647,-42.030075
1550.2388,nan,nan,-42.857143,nan,-43.015038,-42.706767,-42.390977,-41.842105
1550.2474,nan,nan,nan,-43.218045,-42.93985,-42.661654,nan,-41.744361
1550.2561,nan,nan,nan,-43.203008,nan,-42.533835,-42.097744,-41.631579
1550.2647,nan,nan,nan,-43.218045,nan,-42.481203,nan,-41.548872
1550.2734,nan,nan,-42.451128,-43.135338,nan,-42.270677,nan,-41.398496
1550.282,nan,nan,-42.511278,-43.203008,nan,nan,nan,-41.308271
1550.2907,nan,nan,-42.541353,-43.240602,-40.533835,-40.879699,-41.007519,-41.225564
1550.2993,nan,nan,-42.518797,-43.240602,-40.413534,-40.819549,-41,-41.218045
1550.308,nan,nan,-42.496241,-43.195489,-40.323308,-40.774436,-41,-41.225564
1550.3166,nan,nan,-41.443609,-43.112782,-40.24812,-40.721805,-40.992481,-41.225564
1550.3253,nan,nan,nan,-42.977444,-40.210526,-40.691729,-41,-41.263158
1550.3339,nan,nan,nan,-42.766917,-40.142857,-40.661654,-41.007519,-41.398496
1550.3426,nan,nan,nan,-42.781955,-39.992481,-40.639098,-41.045113,-41.481203
1550.3512,nan,nan,nan,-42.736842,-39.924812,-40.639098,-41.090226,-41.736842
1550.3599,nan,nan,nan,-42.676692,-39.864662,-40.646617,-41.157895,-41.827068
1550.3685,nan,nan,-43.06015,nan,-39.834586,-40.736842,-41.255639,-41.977444
