z_mm,exact_fin_beer_lambert_rise_K,local_beer_lambert_rise_K,effective_hotspot_rise_K
7.0225188,2.7631933,2.4074762,17.172579
7.030859,2.7460379,2.3925292,16.978308
7.0391993,2.7289889,2.377675,16.785894
7.0475396,2.7120457,2.3629131,16.595324
7.0558799,2.6952078,2.3482428,16.406584
7.0642202,2.6784744,2.3336635,16.219662
7.0725605,2.6618449,2.3191748,16.034545
7.0809008,2.6453187,2.304776,15.851218
7.089241,2.628895,2.2904667,15.66967
7.0975813,2.6125733,2.2762461,15.489886
7.1059216,2.596353,2.2621139,15.311855
7.1142619,2.5802333,2.2480694,15.135562
7.1226022,2.5642138,2.2341121,14.960996
7.1309425,2.5482936,2.2202414,14.788142
7.1392827,2.5324724,2.2064569,14.616989
7.147623,2.5167493,2.192758,14.447524
7.1559633,2.5011239,2.1791441,14.279733
7.1643036,2.4855955,2.1656147,14.113604
7.1726439,2.4701635,2.1521693,13.949124
7.1809842,2.4548273,2.1388074,13.786282
7.1893244,2.4395863,2.1255285,13.625063
7.1976647,2.42444,2.112332,13.465456
7.206005,2.4093877,2.0992174,13.307449
7.2143453,2.3944288,2.0861843,13.151028
7.2226856,2.3795628,2.073232,12.996182
7.2310259,2.3647891,2.0603602,12.842898
7.2393661,2.3501072,2.0475683,12.691163
7.2477064,2.3355164,2.0348559,12.540967
7.2560467,2.3210161,2.0222223,12.392296
7.264387,2.306606,2.0096672,12.245139
7.2727273,2.2922852,1.99719,12.099483
7.2810676,2.2780534,1.9847903,11.955316
7.2894078,2.2639099,1.9724676,11.812627
7.2977481,2.2498543,1.9602214,11.671404
7.3060884,2.2358859,1.9480512,11.531634
7.3144287,2.2220042,1.9359566,11.393306
7.322769,2.2082088,1.9239371,11.256409
7.3311093,2.1944989,1.9119922,11.12093
7.3394495,2.1808742,1.9001214,10.986858
7.3477898,2.1673341,1.8883244,10.854181
7.3561301,2.1538781,1.8766006,10.722889
7.3644704,2.1405056,1.8649496,10.592969
7.3728107,2.1272161,1.8533709,10.46441
7.381151,2.1140091,1.8418641,10.3372
7.3894912,2.1008841,1.8304288,10.211329
7.3978315,2.0878406,1.8190644,10.086786
7.4061718,2.0748781,1.8077706,9.9635583
7.4145121,2.0619961,1.7965469,9.8416357
7.4228524,2.049194,1.785393,9.7210071
7.4311927,2.0364715,1.7743082,9.6016614
7.4395329,2.0238279,1.7632923,9.4835876
7.4478732,2.0112628,1.7523448,9.366775
7.4562135,1.9987757,1.7414652,9.2512126
7.4645538,1.9863662,1.7306532,9.1368898
7.4728941,1.9740337,1.7199083,9.0237958
7.4812344,1.9617778,1.7092301,8.91192
7.4895746,1.9495979,1.6986182,8.8012518
7.4979149,1.9374937,1.6880723,8.6917806
7.5062552,1.9254646,1.6775917,8.5834961
7.5145955,1.9135102,1.6671763,8.4763877
7.5229358,1.9016301,1.6568255,8.3704451
7.5312761,1.8898237,1.646539,8.2656581
7.5396163,1.8780906,1.6363163,8.1620164
7.5479566,1.8664303,1.6261571,8.0595099
7.5562969,1.8548424,1.616061,7.9581283
7.5646372,1.8433265,1.6060276,7.8578617
7.5729775,1.8318821,1.5960564,7.7587001
7.5813178,1.8205087,1.5861472,7.6606335
7.589658,1.8092059,1.5762995,7.563652
7.5979983,1.7979733,1.5665129,7.4677459
7.6063386,1.7868105,1.5567871,7.3729054
7.6146789,1.775717,1.5471217,7.2791207
7.6230192,1.7646923,1.5375163,7.1863822
7.6313595,1.7537361,1.5279705,7.0946805
7.6396997,1.7428479,1.518484,7.0040058
7.64804,1.7320273,1.5090564,6.9143488
7.6563803,1.7212739,1.4996873,6.8257001
7.6647206,1.7105872,1.4903764,6.7380504
7.6730609,1.6999669,1.4811232,6.6513903
7.6814012,1.6894125,1.4719276,6.5657106
7.6897415,1.6789237,1.462789,6.4810021
7.6980817,1.6685,1.4537072,6.3972559
7.706422,1.658141,1.4446817,6.3144627
7.7147623,1.6478463,1.4357123,6.2326137
7.7231026,1.6376155,1.4267986,6.1516999
7.7314429,1.6274482,1.4179402,6.0717124
7.7397832,1.6173441,1.4091368,5.9926425
7.7481234,1.6073027,1.4003881,5.9144813
